Prefecture,Name,Address,Description,Location,Target,URL
北海道,函館第3団,北海道函館市新八幡町156-1,"主な活動場所: 法龍寺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/hakodate3/",法龍寺,男女,https://find-local.scout.or.jp/hokkaido/hakodate3/
北海道,函館第8団,北海道函館市富岡町3丁目25-13,"主な活動場所: 本現寺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/hakodate8/",本現寺,男女,https://find-local.scout.or.jp/hokkaido/hakodate8/
北海道,函館第2団,北海道函館市東川町12-12,"主な活動場所: 本願寺函館別院内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/hakodate2/",本願寺函館別院内,男女,https://find-local.scout.or.jp/hokkaido/hakodate2/
北海道,室蘭第1団,北海道室蘭市中央町3-5-9,"主な活動場所: 本教寺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/muroran1/",本教寺,男女,https://find-local.scout.or.jp/hokkaido/muroran1/
北海道,登別第1団,北海道登別市富士町5丁目27-1,"主な活動場所: ふおれすと鉱山
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/noboribetsu1/",ふおれすと鉱山,男女,https://find-local.scout.or.jp/hokkaido/noboribetsu1/
北海道,伊達第1団,北海道伊達市錦町9-1,"主な活動場所: 船岡町
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/date1/",船岡町,男女,https://find-local.scout.or.jp/hokkaido/date1/
北海道,苫小牧第2団,北海道苫小牧市高丘6-49,"主な活動場所: 樽前山神社
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/tomakomai2/",樽前山神社,男女,https://find-local.scout.or.jp/hokkaido/tomakomai2/
北海道,千歳第1団,北海道千歳市清水町1-14,"主な活動場所: 千正寺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/chitose1/",千正寺,男女,https://find-local.scout.or.jp/hokkaido/chitose1/
北海道,江別第2団,北海道江別市大麻中町26-4,"主な活動場所: 江別市大麻出張所
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/ebetsyu2/",江別市大麻出張所,男女,https://find-local.scout.or.jp/hokkaido/ebetsyu2/
北海道,札幌第1団,北海道札幌市中央区宮ヶ丘474,"主な活動場所: 北海道神宮境内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/sapporo1/",北海道神宮境内,男女,https://find-local.scout.or.jp/hokkaido/sapporo1/
北海道,札幌第2団,北海道札幌市中央区北3条西19丁目2-1,"主な活動場所: 本願寺札幌別院内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/sapporo2/",本願寺札幌別院内,男女,https://find-local.scout.or.jp/hokkaido/sapporo2/
北海道,札幌第4団,北海道札幌市東区北19条東3丁目1-1,"主な活動場所: 真宗大谷派大願寺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/sapporo4/",真宗大谷派大願寺,男女,https://find-local.scout.or.jp/hokkaido/sapporo4/
北海道,札幌第9団,北海道札幌市南区南35条西10丁目11-2,"主な活動場所: 真宗大谷派東本願寺札幌別院
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/hokkaido/sapporo9/",真宗大谷派東本願寺札幌別院,男女,https://find-local.scout.or.jp/hokkaido/sapporo9/
